iter	Passed	Remaining
0	1	139
1	2	129
2	3	123
3	4	113
4	5	110
5	6	105
6	7	102
7	8	99
8	9	97
9	10	95
10	11	96
11	13	97
12	14	97
13	15	96
14	16	95
15	17	94
16	19	93
17	20	91
18	21	91
19	22	90
20	23	89
21	24	87
22	25	86
23	26	85
24	27	83
25	28	82
26	29	80
27	30	79
28	32	78
29	33	77
30	34	77
31	35	75
32	36	74
33	37	73
34	38	71
35	39	70
36	41	70
37	42	69
38	43	68
39	45	67
40	46	66
41	46	64
42	47	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	54	57
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	67	51
57	68	49
58	70	48
59	73	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	41
66	80	39
67	81	38
68	82	37
69	84	36
70	85	34
71	87	34
72	88	32
73	90	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	102	19
84	103	18
85	104	17
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	111	9
92	112	8
93	113	7
94	113	5
95	114	4
96	116	3
97	117	2
98	118	1
99	119	0
