iter	Passed	Remaining
0	141	141167
1	142	71161
2	143	47702
3	144	35972
4	145	29014
5	148	24541
6	149	21188
7	150	18707
8	153	16909
9	154	15302
10	155	13970
11	156	12861
12	157	11922
13	158	11138
14	159	10441
15	159	9836
16	161	9334
17	162	8855
18	163	8424
19	163	8033
20	164	7689
21	165	7371
22	167	7098
23	169	6877
24	170	6633
25	170	6402
26	171	6187
27	172	5985
28	173	5799
29	174	5631
30	175	5475
31	176	5332
32	177	5214
33	178	5083
34	179	4957
35	180	4837
36	181	4725
37	182	4622
38	184	4537
39	185	4448
40	186	4357
41	187	4267
42	187	4182
43	188	4100
44	192	4084
45	193	4012
46	194	3950
47	196	3892
48	198	3851
49	199	3789
50	200	3729
51	201	3672
52	202	3617
53	203	3566
54	207	3567
55	209	3530
56	210	3479
57	211	3435
58	212	3390
59	213	3344
60	214	3297
61	215	3252
62	215	3212
63	216	3171
64	217	3135
65	218	3097
66	220	3065
67	221	3032
68	222	3003
69	223	2972
70	224	2939
71	225	2908
72	228	2900
73	229	2870
74	230	2839
75	231	2810
76	232	2782
77	233	2754
78	233	2727
79	236	2723
80	239	2712
81	240	2693
82	241	2664
83	242	2640
84	243	2616
85	243	2592
86	245	2572
87	246	2550
88	247	2529
89	248	2508
90	248	2486
91	250	2472
92	251	2455
93	252	2438
94	253	2419
95	254	2399
96	255	2379
97	257	2366
98	258	2351
99	259	2334
100	260	2318
101	261	2300
102	262	2283
103	263	2267
104	267	2283
105	269	2271
106	270	2259
107	272	2246
108	273	2235
109	274	2220
110	275	2205
111	276	2190
112	277	2175
113	278	2160
114	281	2165
115	283	2159
116	284	2147
117	286	2142
118	287	2129
119	288	2115
120	289	2101
121	290	2088
122	290	2074
123	292	2064
124	293	2052
125	296	2054
126	298	2051
127	299	2043
128	301	2032
129	301	2020
130	302	2009
131	303	1998
132	304	1987
133	305	1975
134	306	1963
135	307	1952
136	309	1946
137	310	1942
138	312	1936
139	313	1926
140	314	1915
141	315	1904
142	316	1894
143	317	1886
144	318	1876
145	319	1866
146	319	1856
147	320	1846
148	321	1837
149	322	1827
150	323	1820
151	325	1813
152	327	1810
153	328	1803
154	329	1796
155	330	1787
156	331	1778
157	332	1769
158	333	1761
159	334	1754
160	334	1744
161	335	1735
162	336	1726
163	337	1719
164	338	1711
165	339	1706
166	341	1702
167	342	1697
168	343	1689
169	344	1683
170	346	1677
171	347	1671
172	348	1665
173	349	1658
174	350	1650
175	350	1642
176	351	1635
177	353	1633
